Country,CO2_Emissions_Number,Urbanization_Number,GDP_Per_Capita_Number
Philippines,117200000.0,46.9,8400.0
Poland,359000000.0,60.1,29600.0
Portugal,54970000.0,65.2,30500.0
Puerto Rico,19850000.0,93.6,39400.0
Qatar,114200000.0,99.1,124100.0
Romania,72070000.0,54.0,24600.0
Russia,1847000000.0,74.4,27900.0
Rwanda,985600.0,17.2,2100.0
"Saint Helena, Ascension, and Tristan da Cunha",10650.0,39.8,7800.0
Saint Kitts and Nevis,248100.0,30.8,28200.0
Saint Lucia,437900.0,18.7,14400.0
Saint Pierre and Miquelon,100200.0,90.2,46200.0
Saint Vincent and the Grenadines,226800.0,52.2,11500.0
Samoa,341100.0,18.2,5700.0
Sao Tome and Principe,148100.0,72.8,3200.0
Saudi Arabia,657100000.0,83.8,54500.0
Senegal,8644000.0,47.2,3500.0
Serbia,50210000.0,56.1,15100.0
Seychelles,1150000.0,56.7,29300.0
Sierra Leone,984800.0,42.1,1600.0
Singapore,249500000.0,100.0,94100.0
Slovakia,34860000.0,53.7,33100.0
Slovenia,14370000.0,54.5,34500.0
Solomon Islands,233500.0,23.7,2200.0
Somalia,852500.0,45.0,
South Africa,572300000.0,66.4,13600.0
South Sudan,1224000.0,19.6,1600.0
Spain,286700000.0,80.3,38400.0
Sri Lanka,25190000.0,18.5,12900.0
Sudan,16030000.000000002,34.6,4300.0
Suriname,2075000.0000000002,66.1,14900.0
Sweden,52310000.0,87.4,51200.0
Switzerland,38950000.0,73.8,62100.0
Syria,27510000.0,54.2,2900.0
Taiwan,348800000.0,78.2,50500.0
Tajikistan,6329000.0,27.1,3200.0
Tanzania,14570000.0,33.8,3200.0
Thailand,355000000.0,49.9,17900.0
Timor-Leste,533400.0,30.6,6000.0
Togo,2651000.0000000005,41.7,1700.0
Tonga,139700.0,23.1,5900.0
Trinidad and Tobago,48920000.0,53.2,31300.0
Tunisia,23420000.0,68.9,11900.0
Turkey,379500000.0,75.1,27000.0
Turkmenistan,100500000.0,51.6,18200.0
Turks and Caicos Islands,221800.0,93.1,29100.0
Uganda,4703000.0,23.8,2400.0
Ukraine,238900000.0,69.4,8800.0
United Arab Emirates,289400000.0,86.5,68600.0
United Kingdom,424000000.0,83.4,44300.0
United States,5242000000.000001,82.3,59800.0
Uruguay,7553999.999999999,95.3,22400.0
Uzbekistan,95580000.0,50.5,6900.0
Vanuatu,164800.0,25.3,2700.0
Venezuela,129900000.0,88.2,12500.0
Vietnam,235300000.0,35.9,6900.0
Virgin Islands,2764000.0,95.7,37000.0
West Bank,3113000.0,76.2,4300.0
Western Sahara,268400.0,86.7,2500.0
World,33619999999.999996,55.3,17500.0
Yemen,13680000.0,36.6,2500.0
Zambia,3776999.9999999995,43.5,4000.0
Zimbabwe,12060000.0,32.2,2300.0
