Country,CO2_Emissions,Urbanization_Percentage,GDP_Per_Capita_Number,Population_Number
Indonesia,540.7 million Mt  (2017 est.),55.3,12400.0,262787403
Iran,638.3 million Mt  (2017 est.),74.9,20100.0,83024745
Iraq,117.9 million Mt  (2017 est.),70.5,16700.0,40194216
Ireland,36.91 million Mt  (2017 est.),63.2,73200.0,5068050
Israel,73.82 million Mt  (2017 est.),92.4,36400.0,8424904
Italy,351 million Mt  (2017 est.),70.4,38200.0,62246674
Jamaica,8.9 million Mt  (2017 est.),55.7,9200.0,2812090
Japan,1.268 billion Mt  (2017 est.),91.6,42900.0,126168156
Jersey,"450,000 Mt  (2012 est.)",30.9,56600.0,99602
Jordan,27.39 million Mt  (2017 est.),91.0,9200.0,10458413
Kazakhstan,304.6 million Mt  (2017 est.),57.4,26300.0,18744548
Kenya,17.98 million Mt  (2017 est.),27.0,3500.0,48397527
Kiribati,"58,850 Mt  (2017 est.)",54.1,2000.0,109367
"Korea, North",27.83 million Mt  (2017 est.),61.9,1700.0,25381085
"Korea, South",778.4 million Mt  (2017 est.),81.5,39500.0,51418097
Kuwait,106.5 million Mt  (2017 est.),100.0,65800.0,2916467
Kyrgyzstan,10.02 million Mt  (2017 est.),36.4,3700.0,5849296
Laos,10.42 million Mt  (2017 est.),35.0,7400.0,7234171
Latvia,8.632 million Mt  (2017 est.),68.1,27700.0,1923559
Lebanon,23.36 million Mt  (2017 est.),88.6,19600.0,6100075
Lesotho,"711,100 Mt  (2017 est.)",28.2,3300.0,1962461
Liberia,1.163 million Mt  (2017 est.),51.2,1300.0,4809768
Libya,46.48 million Mt  (2017 est.),80.1,9600.0,6754507
Lithuania,13.49 million Mt  (2017 est.),67.7,32400.0,2793284
Luxembourg,10.72 million Mt  (2017 est.),91.0,105100.0,605764
Macau,2.563 million Mt  (2017 est.),100.0,110000.0,606340
Macedonia,7.459 million Mt  (2017 est.),58.0,14900.0,2118945
Madagascar,4.021 million Mt  (2017 est.),37.2,1600.0,25683610
Malawi,1.082 million Mt  (2017 est.),16.9,1200.0,19842560
